,degree,betweenness,eigenvector,closeness,pagerank
22260,0.029199145084234348,0.07274424943340163,0.15209284055575148,0.5074079390140822,0.005038436780429139
150,0.013735227558461151,0.0036690539302297316,0.11175886772449542,0.3784915536521532,0.0020451330810136122
264,3.1430726678400805e-05,0.0,0.0013805387092547237,0.33661313189022196,9.218704277515784e-06
266,3.1430726678400805e-05,0.0,0.0013805387092547237,0.33661313189022196,9.218704277515784e-06
402,0.024453105355795826,0.010612756703829775,0.02905456700988665,0.34921575729636584,0.003941251969115449
460,0.005720392255468947,0.0038214726305700847,0.0422874189440092,0.3829884559363451,0.0010531304278714542
469,6.286145335680161e-05,0.0,0.001988475129446285,0.337627607869771,1.3499005898297378e-05
618,0.0007543374402816193,5.453212862079812e-06,0.02773978893621666,0.37104505113881536,0.00010878137886072192
622,0.0077948202162434,0.0020806191251262567,0.026165929632589662,0.3544523790955983,0.0012143635446160272
640,0.005846115162182549,0.0013950466566880482,0.02253749862238465,0.35681762106632575,0.0009382642175043106
671,0.013766658285139552,0.0036513136897692654,0.057182061534935165,0.37840152235965746,0.0020031954163320233
690,0.0025144581342720646,0.002629433383803053,0.006898685321023346,0.33772078804347827,0.0006019984550988537
693,0.01640683932612522,0.004619656660695134,0.1243932004406229,0.39551478083588176,0.002462236278248001
746,0.0020429972340960524,0.00261052753596124,0.0029261291228679645,0.33784271667339183,0.0005385341538569158
750,0.02652753331657028,0.013547027743122081,0.08034237290832329,0.3833576325714217,0.004177949440865649
795,0.03334800100578325,0.02100746963124297,0.07697319074306612,0.3812947915917643,0.005604548065575315
839,0.012415137037968317,0.013174777077082249,0.03690070874987846,0.37515771103800394,0.002876067752718146
844,0.022095800854915765,0.013612307663147721,0.12845452505284413,0.40182371588426224,0.0037444778777388555
988,0.028287654010560725,0.04889078560348137,0.006578495241513769,0.34866849315068493,0.01084155363001768
1003,3.1430726678400805e-05,0.0,0.0013805387092547237,0.33661313189022196,9.218704277515784e-06
942,0.021152879054563742,0.02516371142280982,0.007659851134170949,0.3459426545901336,0.006098449036218376
947,0.01442670354538597,0.01862618772159413,0.005514789821901003,0.34097095702497054,0.004387235325145471
963,3.1430726678400805e-05,0.0,0.0013805387092547237,0.33661313189022196,9.218704277515784e-06
964,0.01134649233090269,0.013460141037482573,0.011955496831089,0.3622040072859745,0.0028880363619661394
1004,0.010089263263766659,0.012286445699044387,0.03491818041167167,0.3789965216562634,0.002455854573960442
1108,0.05308649735981896,0.058979592036211254,0.16935190871536884,0.4236484687083888,0.01101553086417008
1161,0.023447322102087,0.021494799914511347,0.11461726963170664,0.3846879307426305,0.004715177667570032
