,degree,betweenness,eigenvector,closeness,pagerank
2290,0.03165486843862695,0.17152796454188898,0.2041053774258581,0.5080409852751577,0.007243800297520467
596,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
769,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
915,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
976,0.00026712969146520634,0.0,0.008633979421441743,0.3395618848927389,7.331541071550166e-05
1075,0.0005342593829304127,0.0,0.013561519003849188,0.34008630479218716,0.000122177220900154
1111,0.002404167223186857,0.0005379800629724607,0.05677739340799193,0.37211729622266404,0.000515627124410805
1417,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
1419,0.00026712969146520634,0.0,0.007330519634793757,0.33755635707844905,7.079554669274648e-05
1728,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
1812,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
1908,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
2099,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
2185,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
259,0.036062508347802856,0.05431006121144905,0.04431980734524443,0.38688507647788345,0.011430602738003708
353,0.037798851342326696,0.06278712066409634,0.030529586575422128,0.3777306896725695,0.013574665261916525
401,0.052223854681447836,0.06859699185747359,0.062376547410584425,0.3767044025157233,0.015221806501351095
599,0.005209028983571524,0.006224169545884514,0.012223536483206524,0.33993189557321224,0.001568203948055076
716,0.017630559636703617,0.018046394020217214,0.04328235749882615,0.36267196279790737,0.004893113327380407
730,0.009082409509817015,0.011365485407567216,0.03077194032752871,0.37158171621420416,0.002424426630449934
754,0.0010685187658608254,3.251339354136145e-05,0.022236284612533276,0.3589510020136159,0.0002448553361021452
922,0.034326165353279016,0.04278130056804395,0.16604868735291456,0.4280487107655366,0.00821780976758511
946,0.0010685187658608254,2.405578027998442e-05,0.00924261593538609,0.34315702630855255,0.00025313197492343254
947,0.006544677440897555,0.003917468727863936,0.015218459776463215,0.342607422321878,0.0016561821894640833
1007,0.009082409509817015,0.0030043934454009537,0.11176506941187961,0.39372107698779973,0.0017942237046168663
1072,0.04020301856551355,0.05190106133110026,0.0897488937285904,0.3780358495329462,0.012024363730892638
1089,0.0018699078402564444,0.0020146844493099066,0.025035788381211496,0.3719139635388207,0.0005597160160423936
1106,0.10591692266595432,0.16912954002032446,0.249077826419786,0.44272958429424636,0.03135682303845644
1140,0.019233337785494856,0.017032236721989277,0.05282102749546965,0.36418912345558907,0.004776247032958815
1195,0.014692133030586349,0.018578254509120113,0.02637276968601702,0.35396180030257185,0.004597522050063581
1229,0.031521303592894345,0.04767117436872508,0.05378450752914526,0.37681815894106396,0.01049370140939895
1233,0.005209028983571524,0.004940083319864477,0.00962481253327156,0.33834960231381056,0.0014341011674048202
1259,0.0041405102177106985,0.0032540841959778537,0.05435412538394757,0.3654691008493605,0.001010570384378922
1295,0.008948844664084412,0.006520868435777447,0.04468531956300265,0.3712316541055137,0.002134140847649973
1337,0.06851876586082542,0.08233576810649446,0.13865854007212855,0.3958024952421231,0.016953216524675234
1354,0.018031254173901428,0.027484772449319524,0.026102385279628364,0.36691987258024994,0.006117230326580354
1357,0.00026712969146520634,0.0,0.012780218044088241,0.3545484680589099,8.095503252364529e-05
1602,0.02484306130626419,0.03172750493965933,0.057411528027343575,0.3858283947436228,0.007005334833101729
1685,0.006277547749432349,0.004809091091030505,0.04288551752543522,0.37642031171442936,0.0015764199776784754
1702,0.009082409509817015,0.00946590777699339,0.042053831420001055,0.37659071475277905,0.0023294164035392896
1836,0.018832643248297046,0.017568125433744898,0.049773140439302456,0.3650592422838754,0.004837313207540264
1884,0.006678242286630158,0.007290567624284799,0.01795805543658416,0.35858997078404137,0.0017984430112458441
1886,0.02243889408307733,0.031848765203135315,0.01276287603901687,0.3425917452182667,0.0073406996460339295
1899,0.01896620809402965,0.01828579965772268,0.13587127170959012,0.4127797993163524,0.004432188366804496
1941,0.0006678242286630158,0.00013637586948656976,0.019433708165994972,0.35991731564272667,0.00016575357981622922
1943,0.017096300253773206,0.012111581175134173,0.12369629779619068,0.3912725372354324,0.0037756331850623843
2097,0.014825697876318952,0.008595671214380794,0.12999462913988,0.397906037414966,0.0031392844413041967
2157,0.0017363429945238412,0.0008622616283234439,0.01952030785829098,0.3583668389814283,0.0004291183359173109
2180,0.019901162014157873,0.018823644600369765,0.13157677631993844,0.4014046751018657,0.004625778914261285
2205,0.006010418057967142,0.0029001691412580246,0.03344013728054642,0.3620056087419012,0.0014306484572795663
2289,0.012287965807399492,0.022759371707722624,0.13298165457895827,0.4316268880433529,0.0025986514273773497
2439,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
2636,0.00026712969146520634,0.0,0.012780218044088241,0.3545484680589099,8.095503252364529e-05
2654,0.0004006945371978095,2.0499884367822034e-05,0.010022999495301449,0.34519802664945365,0.00010850414131173352
2946,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
2990,0.00026712969146520634,0.0,0.007156049629888369,0.3413733357650921,7.716471911729918e-05
3076,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
3134,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3240,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3344,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
2291,0.0017363429945238412,0.0016280327192585897,0.013874711183400643,0.35488458074607765,0.0005098079825202044
2292,0.004407639909175904,0.0023995616826354717,0.030466513787330896,0.3530771044564961,0.001019376944788029
2296,0.15720582342727393,0.21139646053578443,0.3436850711571599,0.39862634437227135,0.04796195210103539
2298,0.004674769600641111,0.0023022920104428034,0.04085687587384972,0.36176072671047543,0.0010796720149340926
2305,0.0013356484573260317,3.801140717452276e-05,0.01899087566476835,0.35488458074607765,0.0002925919280310286
2306,0.002404167223186857,0.0013751975202712279,0.028402577259354692,0.3657011673911982,0.0005876716883063
2308,0.0006678242286630158,2.2202783538314744e-05,0.015548233344010315,0.3546156396532942,0.00016101890571000233
2309,0.0009349539201282222,1.716860049519381e-06,0.02268760963802787,0.3575453677172875,0.00020764487674914404
2316,0.044477093628956854,0.04785889762722351,0.10267170871340127,0.38298634201237913,0.012108612239876746
2317,0.05756644851075197,0.09353074684545949,0.12845920088438403,0.42537355832054996,0.018088126841967363
2349,0.02056898624282089,0.029057625238700074,0.03487183365993915,0.37046016823354777,0.006256151425613532
2400,0.030853479364231332,0.03800447438610872,0.09816709961455143,0.3851931882492154,0.008295097057544967
2434,0.027514358220916253,0.04360093967008947,0.04852890828315215,0.389826096011663,0.008820525669874997
2451,0.00026712969146520634,0.0,0.007995328356766777,0.34427737159148386,7.437489431863923e-05
2473,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
2494,0.010685187658608254,0.016460646257634284,0.016981809739878746,0.35512023905516293,0.003705466005246264
2504,0.0005342593829304127,0.00014560827532896143,0.011999885441991182,0.35213056156523376,0.00014577736098314603
2506,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
2512,0.008281020435421397,0.007128885415202075,0.04316723320013465,0.3710844567803331,0.002060588201966701
2515,0.01522639241351676,0.01682616370050555,0.04759060861104284,0.37055184360306853,0.004157741092788042
2565,0.041805796714304795,0.05958873301848688,0.12290372010474274,0.4117129502337091,0.01146641930660535
2569,0.02698009883798584,0.02876809316025347,0.07310489544339938,0.38574887938585195,0.007132882545783728
2702,0.023373848003205553,0.007552510067151188,0.04940478024114735,0.36081927710843376,0.00495929194002066
2718,0.04300788032589822,0.054595719539970604,0.07920199433993834,0.38049499415561316,0.012293165210953434
2752,0.01522639241351676,0.013187201419504354,0.11296721653540906,0.38704507857733667,0.0035176025342653987
2753,0.013757179110458127,0.02197078709893683,0.009990645247872281,0.34089149933979873,0.0048226257817308455
2772,0.0040069453719780955,0.001340710686993813,0.04941315526920938,0.35069558293128483,0.000867196410634717
2845,0.0013356484573260317,0.0008543758073589773,0.018672482491042173,0.3558121851535025,0.0003451283858942942
2860,0.014024308801923333,0.010497170935836094,0.1101701532572129,0.3863061761519013,0.0030604841021987807
2915,0.019500467476960062,0.028113642796877003,0.06344981722005019,0.3983294317939987,0.005174284876892578
2927,0.03632963803926806,0.04683406691754274,0.142611228427471,0.4144707705934455,0.009467851428224153
2937,0.0040069453719780955,0.003304020653138405,0.014766676008459649,0.3389776791777969,0.0010294840774968616
3114,0.0041405102177106985,0.004694442432042799,0.025687062598811785,0.3568977023548479,0.0011656456327322523
3115,0.008013890743956191,0.014013366565943436,0.005353114759094476,0.34014810776429966,0.00317738955011585
3129,0.01389074395619073,0.014655057634288935,0.029565213140169612,0.3559982882411678,0.0037526064211949963
3178,0.009616668892747428,0.010833928945947468,0.019209271338559788,0.3472151370403005,0.0028155496984715394
3181,0.028983571523974887,0.019648940298693678,0.06611200231403568,0.37143424120652874,0.0063958770029201965
3245,0.012154400961666888,0.01240541161905634,0.04248626263134072,0.3635878010878011,0.0032213482884073026
3259,0.003205556297582476,0.002189911979591024,0.020286126242806655,0.34766658927327604,0.0007969731593447957
3265,0.016294911179377588,0.017592473893478504,0.05593215063937268,0.3888946602950343,0.004131608649965294
3320,0.00921597435554962,0.011731044159653202,0.0684109060151818,0.40564555453215584,0.0022807595768871546
3418,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3495,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3715,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
3745,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3769,0.00026712969146520634,0.0,0.007883959931297532,0.33834960231381056,7.351368095055065e-05
3776,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3823,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3840,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
3956,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
4234,0.00013356484573260317,0.0,0.004760823155420756,0.33690320838770643,4.598394981162159e-05
4248,0.0005342593829304127,3.9940818109387595e-05,0.01887013199772249,0.35901985230651196,0.00013800951288208492
4530,0.00026712969146520634,0.0,0.012780218044088241,0.3545484680589099,8.095503252364529e-05
4549,0.0018699078402564444,0.0,0.044751620622560495,0.35025261976047906,0.0003779493106818698
3438,0.018699078402564445,0.021502631531217183,0.03862402248260087,0.35540681667141366,0.005190018852249177
3509,0.006277547749432349,0.005913390700062675,0.034979487730425377,0.3711396420958707,0.00163731502376134
3525,0.00026712969146520634,0.0,0.012780218044088241,0.3545484680589099,8.095503252364529e-05
3551,0.02991852544410311,0.03784950659062093,0.149649121421464,0.4188765805080005,0.0074440860985003805
3681,0.005876853212234539,0.004936095675184417,0.05302695320788637,0.3548341232227488,0.0014397793423506007
3713,0.0022706023774542537,0.0008142146955613472,0.018097730493302426,0.34943526556520116,0.0005240185282369108
3742,0.0018699078402564444,0.001809887045460355,0.008113969814557729,0.3387322987829706,0.0005410896264905557
3770,0.006143982903699746,0.008486365372220462,0.012338068881989545,0.3401944747364595,0.0019196343947751585
3775,0.00761319620675838,0.010951865874250703,0.017478520475719357,0.3502198521844887,0.002469107860763549
3783,0.0022706023774542537,0.0012486443451054192,0.015519709106848021,0.3549350526215986,0.000605579437563007
3786,0.001602778148791238,0.0025094479013885074,0.005908475754309513,0.3372218719034321,0.000580933479163385
3799,0.021637505008681713,0.024493613738481766,0.13389831396199856,0.41252961595680204,0.00523639765639726
3836,0.018031254173901428,0.02348854153893876,0.05273717260288834,0.3831823532422335,0.005287886654069085
3968,0.001602778148791238,0.0004657421827758416,0.014530046322881815,0.3445308545395978,0.00037485010246556607
4108,0.005342593829304127,0.00413118053615869,0.04128874131008038,0.37319310138570433,0.0013151438560036629
4114,0.008414585281154,0.009733697897941351,0.05259403287491553,0.3950298105840764,0.0021051168713438336
4124,0.022973153466007746,0.025803169316175538,0.15839879182437186,0.4293250759791272,0.005213799469765656
